Date,Total,Mon,Tue,Wed,Thu,Fri,Sat,Sun,holiday,daylight_hrs,PRCP,Temp (C),dry day,annual
2012-10-03,3521.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.27735923649675,0.0,13.35,1,0.0
2012-10-04,3475.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,11.219141593709272,0.0,13.6,1,0.0027397260273972603
2012-10-05,3148.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,11.161037510141552,0.0,15.3,1,0.005479452054794521
2012-10-06,2006.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11.103056478579873,0.0,15.85,1,0.00821917808219178
2012-10-07,2142.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.045208198323877,0.0,15.85,1,0.010958904109589041
2012-10-08,3537.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.987502588667528,0.0,14.450000000000001,1,0.0136986301369863
2012-10-09,3501.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.92994980215941,0.0,12.5,1,0.01643835616438356
2012-10-10,3235.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.872560237618186,0.0,10.25,1,0.019178082191780823
2012-10-11,3047.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.81534455287898,0.0,10.55,1,0.021917808219178082
2012-10-12,2011.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.758313677241961,0.07874015748031496,11.4,0,0.024657534246575342
2012-10-13,766.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.70147882359555,0.1889763779527559,13.899999999999999,0,0.0273972602739726
2012-10-14,698.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.64485150018159,0.6496062992125984,15.55,0,0.030136986301369864
2012-10-15,2273.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.588443521970554,0.3110236220472441,14.149999999999999,0,0.03287671232876712
2012-10-16,3036.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.53226702161101,0.0,12.200000000000001,1,0.03561643835616438
2012-10-17,3243.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.476334459915442,0.0,10.25,1,0.038356164383561646
2012-10-18,2923.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.420658635843873,0.8188976377952756,12.25,0,0.0410958904109589
2012-10-19,1977.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.365252695942027,0.1889763779527559,12.2,0,0.043835616438356165
2012-10-20,1068.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.310130143190996,0.01968503937007874,8.6,0,0.04657534246575343
2012-10-21,989.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.255304845221401,0.25196850393700787,8.05,0,0.049315068493150684
2012-10-22,2129.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.200791041843253,0.35039370078740156,5.55,0,0.052054794520547946
2012-10-23,2500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.146603351840627,0.0,8.35,1,0.0547945205479452
2012-10-24,2429.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.092756778978623,0.2795275590551181,8.899999999999999,0,0.057534246575342465
2012-10-25,2713.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.039266717165974,0.0,9.2,1,0.06027397260273973
2012-10-26,2073.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.986148954718034,0.05905511811023622,9.15,0,0.06301369863013699
2012-10-27,531.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.933419677659106,0.9094488188976378,11.9,0,0.06575342465753424
2012-10-28,1062.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.881095472004354,0.24015748031496062,12.2,0,0.0684931506849315
2012-10-29,2217.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.829193324959157,0.42913385826771655,12.8,0,0.07123287671232877
2012-10-30,1735.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.77773062497099,1.358267716535433,13.6,0,0.07397260273972603
2012-10-31,1710.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9.726725160571108,0.5708661417322834,13.35,0,0.07671232876712329
