Artist,Songs,Popularity,Link,Genre,Genres
10000 Maniacs,110,0.3,/10000-maniacs/,Rock,Rock; Pop; Electronica; Dance; J-Pop/J-Rock; Gospel/Religioso; Infantil; Emocore
12 Stones,75,0.3,/12-stones/,Rock,Rock; Gospel/Religioso; Hard Rock; Grunge; Rock Alternativo; Hardcore; Punk Rock; Chillout; Electronica; Heavy Metal; Metal; World Music; Axé; Emocore
311,196,0.5,/311/,Rock,Rock; Surf Music; Reggae; Ska; Pop/Rock; Rock Alternativo; Hardcore
4 Non Blondes,15,7.5,/4-non-blondes/,Rock,Rock; Pop/Rock; Rock Alternativo; Grunge; Blues; Pop; Soft Rock; Power-Pop; Piano Rock; Indie; Chillout
A Cruz Está Vazia,13,0,/a-cruz-esta-vazia/,Rock,Rock
Aborto Elétrico,36,0.1,/aborto-eletrico/,Rock,Rock; Punk Rock; Pós-Punk; Post-Rock
Abril,36,0.1,/abril/,Rock,Rock; Emocore; Hardcore; Pop/Rock; Rock Alternativo; Romântico; Hard Rock; Blues; World Music
Abuse,13,0,/abuse/,Rock,Rock; Hardcore
AC/DC,192,10.8,/ac-dc/,Rock,Rock; Heavy Metal; Classic Rock; Hard Rock; Clássico; Metal; Punk Rock; Blues; Black Music; Rockabilly; Psicodelia; Funk Carioca; Rock Alternativo; Trilha Sonora; New Age; Hip Hop; New Wave; Sertanejo; Post-Rock; Pop/Rock; MPB; Electronica; Grunge; Progressivo; Pop/Punk; Funk; Forró
ACEIA,0,0,/aceia/,Rock,Rock
Acid Tree,5,0,/acid-tree/,Rock,Rock; Heavy Metal; Metal
Adam Lambert,110,1.4,/adam-lambert/,Pop,Pop; Pop/Rock; Rock; Romântico; Dance; Electronica; Emocore; Power-Pop; Axé; Gótico; R&B; Punk Rock; Pop/Punk; Black Music; Rock Alternativo; World Music; J-Pop/J-Rock; Gospel/Religioso; Hip Hop; K-Pop/K-Rock; Piano Rock; Heavy Metal; Velha Guarda; Soul Music; Hard Rock; Country; Soft Rock; Tecnopop; House; Trilha Sonora; Blues
Adrian Suirady,7,0,/adrian-suirady/,Rock,Rock; Gótico
Aerosmith,249,16.5,/aerosmith/,Rock,Rock; Hard Rock; Heavy Metal; Romântico; Pop/Rock; Classic Rock; Rock Alternativo; Blues; Metal; Chillout; Piano Rock; Funk; Gótico; Forró; Jovem Guarda; Hip Hop
Aliados,75,0.8,/aliados/,Rock,Rock; Pop/Rock; Rock Alternativo; Surf Music; Hardcore; Pop/Punk; Blues; R&B; Punk Rock; Axé
Alice Cooper,310,1.2,/alice-cooper/,Rock,Rock; Hard Rock; Heavy Metal; Punk Rock; Classic Rock; Grunge; Trilha Sonora; Gótico
Alter Bridge,74,1.4,/alter-bridge/,Rock,Rock; Hard Rock; Rock Alternativo; Heavy Metal; Grunge; Romântico; Rap; Metal; Hardcore
Amy Lee,33,0.5,/amy-lee/,Rock,Rock; Gótico; Hard Rock; Rock Alternativo; Heavy Metal; Piano Rock; Romântico; Metal; Indie; Classic Rock; New Age; Funk; Electronica; Industrial; Post-Rock; Psicodelia; Funk Carioca; Infantil; Pós-Punk; Dance; Pop; Clássico; Axé; Trilha Sonora
Anberlin,98,0.1,/anberlin/,Rock,Rock; Rock Alternativo; Hardcore; Emocore; Gospel/Religioso
Andi Deris,44,0,/andi-deris/,Rock,Rock; Hard Rock; Heavy Metal
Andrew W.K.,31,0,/andrew-w-k/,Rock,Rock
Andy (Brasil),7,0,/andy-brasil/,Rock,Rock
Angra,124,2.2,/angra/,Rock,Rock; Heavy Metal; Hard Rock; Progressivo; Metal; Black Music; Piano Rock; Post-Rock; Romântico; Psicodelia; Hardcore; Clássico; Forró; Pagode
Arthur Brown,2,0,/arthur-brown/,Rock,Rock
Asking Alexandria,77,1,/asking-alexandria/,Rock,Rock; Hard Rock; Hardcore; Heavy Metal; Emocore; Metal; Rock Alternativo; K-Pop/K-Rock; Classic Rock; Samba; Tecnopop; Grunge; Reggae; Chillout; World Music; Pop/Rock; Black Music; Gótico; Punk Rock; New Age
Autoramas,67,0.1,/autoramas/,Rock,Rock; Pop/Rock; Rock Alternativo; Progressivo; Indie; Punk Rock; Hardcore; Surf Music; Electronica; Funk; Pagode; Ska; R&B; Samba; New Age; MPB; Axé; Funk Carioca; Emocore; Grunge
Avante,21,0,/avante/,Rock,Rock
Aylah,2,0,/aylah/,Rock,Rock; Folk; MPB
Badfinger,120,0.3,/badfinger/,Rock,Rock; Romântico; Power-Pop; Metal; Progressivo; Pop
Banda Base,5,0,/banda-base/,Rock,Rock
Banda ContraPlano,10,0,/banda-contraplano/,Rock,Rock
Banda Hodsi,4,0,/banda-hodsi/,Rock,Rock; Gospel/Religioso; Rock Alternativo
Banda Sinara,7,0.1,/banda-sinara/,Rock,Rock; MPB; Reggae; Heavy Metal; Punk Rock; Rock Alternativo; Romântico
Banda Upfive,7,0,/banda-upfive/,Rock,Rock; Rap
Banda Www,19,0,/banda-www/,Rock,Rock; Pop/Rock; Surf Music; Rock Alternativo; Romântico
Barão Vermelho,160,3.8,/barao-vermelho/,Rock,Rock; Pop/Rock; MPB; Romântico; Rock Alternativo; Forró; Trance; Trilha Sonora; K-Pop/K-Rock; Industrial; Blues; Axé; Sertanejo
Barba Grunge,3,0,/barba-grunge/,Rock,Rock; Pop/Rock
Beady Eye,33,0.1,/beady-eye/,Rock,Rock; Indie; Rock Alternativo; Forró; Hard Rock
Beastie Boys,188,0.6,/beastie-boys/,Hip Hop,Hip Hop; Rock; Rap; Hardcore; Punk Rock
Beeshop,39,0.2,/beeshop/,Rock,Rock; Emocore; Pop/Rock; Romântico; Indie; Rock Alternativo; Folk; Blues; Jazz; Trilha Sonora; Soft Rock; Axé; Hard Rock
Ben Harper,164,2.5,/ben-harper/,Rock,Rock; Reggae; Surf Music; Soul Music; Romântico; Folk; Pop; Pop/Rock; Blues
Ben's Brother,18,0.3,/bens-brother/,Rock,Rock; Romântico; Pop/Rock; Pop; Soft Rock; Indie; Blues; Rock Alternativo; J-Pop/J-Rock; Piano Rock; Samba; Funk Carioca; Gospel/Religioso; Axé; Hard Rock
Bili,4,0,/bili/,Rock,Rock; Black Music
Billy Burnette,46,0,/billy-burnette/,Rock,Rock; Rockabilly
Biosystem 55,4,0,/biosystem-55/,Rock,Rock; Rock Alternativo
Biquini Cavadão,162,3.4,/biquini-cavadao/,Rock,Rock; Pop/Rock; Romântico; Punk Rock; New Wave; Pós-Punk; Indie; MPB
Black Veil Brides,84,0.6,/black-veil-brides/,Rock,Rock; Hard Rock; Emocore; Heavy Metal; Hardcore; Gótico; Metal; Romântico; Samba; Funk Carioca; Punk Rock; Rock Alternativo; Infantil; Indie; World Music; Ska; Blues; Funk; Psicodelia; Forró
Bleach,72,0,/bleach/,Rock,Rock; Hard Rock; Dance; Disco; Hardcore; Heavy Metal; Punk Rock
Bleck a Bamba,2,0,/bleck-a-bamba/,Hip Hop,Hip Hop; Funk; Reggae; MPB; Soul Music; Black Music; Rock
Blowdrivers,4,0,/blowdrivers/,Rock,Rock; Rock Alternativo
Blur,178,0.6,/blur/,Rock,Rock; Rock Alternativo; Indie; Pop/Rock; Hard Rock; Folk
Box-47,29,0,/box-47/,Rock,Rock; Hardcore
Breaking Benjamin,82,0.9,/breaking-benjamin/,Rock,Rock; Hard Rock; Rock Alternativo; Heavy Metal; Gospel/Religioso; Grunge; Metal; Kizomba; Electro Swing; Progressivo; Gótico; Punk Rock; Hardcore
Bring Me The Horizon,91,4.2,/bring-me-the-horizon/,Rock,Rock; Hardcore; Heavy Metal; Hard Rock; Emocore; Metal; Rock Alternativo; Axé; Punk Rock; Gótico; Folk; Funk; Pop/Rock; Chillout; Kizomba; Samba Enredo; Psicodelia; Dance; Reggae; Samba; Romântico; Grunge; Clássico; Sertanejo; Bossa Nova; Indie
Bruce Springsteen,480,4.1,/bruce-springsteen/,Rock,Rock; Pop/Rock; Country; Blues; Rock Alternativo; Axé; Romântico; Hard Rock; World Music; MPB; Reggae; Classic Rock; Pagode; Sertanejo; Samba; Dance; Folk
Buddy Holly,56,0.2,/buddy-holly/,Rock,Rock; Rockabilly; Country; Folk; Pop/Rock; Instrumental; Pop; Velha Guarda; New Wave
Buffalo Springfield,38,0.2,/buffalo-springfield/,Rock,Rock; Folk; Hard Rock
Bula,15,0,/bula/,Rock,Rock; Pop/Rock
Bumblefoot,74,0,/bumblefoot/,Rock,Rock; Heavy Metal; Hard Rock
Bush,120,0.6,/bush/,Rock,Rock; Grunge; Rock Alternativo; Pós-Punk; Romântico; Punk Rock
Cachorro Grande,100,0.4,/cachorro-grande/,Rock,Rock; Indie; Rock Alternativo; Hard Rock; Romântico; Clássico; Psicodelia; Blues; Axé
Cambio Negro Hc,4,0,/cambio-negro-hc/,Rock,Rock; Hardcore; Punk Rock
Camisa de Vênus,95,0.6,/camisa-de-venus/,Rock,Rock; Punk Rock; Rock Alternativo; Rockabilly; Pós-Punk; Pop/Rock
