Type,Sweetness,Acid,Bitterness,Astringent
Dry,4.678571429,3.392857143,5.857142857,2.321428571
Dry,5.285714286,4.285714286,4.857142857,2.785714286
Dry,6.5,4.642857143,2.357142857,0.714285714
Dry,5.035714286,5.714285714,4.642857143,3.821428571
Dry,4.571428571,4.607142857,4.321428571,2.178571429
Dry,6.071428571,3.25,3.428571429,1.142857143
Dry,5.107142857,4.214285714,3.821428571,2.785714286
Dry,4.821428571,3.892857143,5.214285714,2
Dry,4.071428571,3.142857143,7.857142857,4.428571429
Dry,4.892857143,3.857142857,6.214285714,3.607142857
Dry,5.821428571,3.25,5.392857143,3.142857143
Dry,4.428571429,2.107142857,7.535714286,3.214285714
Dry,5.321428571,4.428571429,4.25,2.321428571
Dry,5.25,3.285714286,4.571428571,1.821428571
Dry,5.392857143,5.107142857,4.107142857,1.821428571
Dry,4.321428571,4.357142857,5.5,2.25
Dry,3.857142857,3.285714286,6.964285714,3.678571429
Dry,4.607142857,4.25,5.071428571,2.107142857
Dry,5.285714286,3.142857143,5.392857143,2.571428571
Dry,5.321428571,4,4.714285714,2.178571429
Dry,5.107142857,4.142857143,3.928571429,2.25
Dry,4.464285714,3.678571429,5.75,3.142857143
Dry,4.25,4.857142857,6.035714286,2.428571429
Dry,4.071428571,4.392857143,3.285714286,1.821428571
Dry,4.428571429,4.571428571,5.428571429,3.142857143
Dry,4,3.857142857,5.285714286,2.107142857
Dry,4.035714286,3.785714286,6.607142857,3.285714286
Dry,5.392857143,4.035714286,2.285714286,0.821428571
Dry,5.357142857,3.607142857,2.964285714,1.285714286
Dry,4.464285714,3.857142857,3.285714286,1.321428571
Dry,5.25,5,3.107142857,1.464285714
Dry,4.357142857,4.285714286,4.357142857,2.107142857
Dry,5.714285714,4.321428571,3.214285714,1.857142857
Dry,5.392857143,3.785714286,3.678571429,1.464285714
Dry,4.678571429,5.035714286,3.928571429,1.571428571
Dry,6.107142857,4.107142857,2.964285714,1.321428571
Dry,5,3.851851852,3.666666667,1.592592593
Dry,3.5,4.357142857,3.857142857,1.571428571
Dry,4.428571429,4.607142857,3.392857143,1.214285714
Dry,4.821428571,3.857142857,4.785714286,2.142857143
Dry,5.535714286,3.285714286,3.642857143,1.214285714
Dry,3.785714286,3.714285714,5.964285714,1.75
Dry,4.428571429,5.25,3.75,2.357142857
Dry,5.071428571,3.821428571,4.071428571,1.678571429
Dry,5.464285714,4.642857143,3.928571429,2.178571429
Dry,3.444444444,4.62962963,5.62962963,2.407407407
Dry,5.464285714,4.75,2.857142857,1.392857143
Dry,5.464285714,4.071428571,2.928571429,1.428571429
Dry,4.464285714,3.464285714,3.357142857,1.285714286
Dry,4.821428571,5,4.607142857,2.357142857
Semi-dry,5.035714286,3.285714286,4.428571429,1.535714286
Semi-dry,5.678571429,3.285714286,3.857142857,1.5
Semi-dry,5.392857143,4.142857143,3.607142857,1.642857143
Semi-dry,5.535714286,3.321428571,3.678571429,1.785714286
Semi-dry,4.642857143,3.857142857,6.107142857,2.464285714
Semi-dry,5.357142857,3.928571429,4.357142857,1.571428571
Semi-dry,5.214285714,3.571428571,4.892857143,1.964285714
Semi-dry,6,5.035714286,3.642857143,2.428571429
Semi-dry,5.607142857,3.821428571,3.642857143,1.392857143
Semi-dry,4.25,5.428571429,3.535714286,2
Semi-dry,6,3.285714286,3.178571429,1.214285714
Semi-dry,6.357142857,3.071428571,2.857142857,0.75
Semi-dry,5.571428571,2.75,6.071428571,2.428571429
Semi-dry,4.607142857,4.107142857,5.821428571,2.964285714
Semi-dry,4.642857143,3.357142857,6.285714286,2.821428571
Semi-dry,4.5,4.035714286,6.428571429,4.678571429
Semi-dry,5.75,3.25,4.928571429,2.928571429
Semi-dry,6.428571429,3.25,4,2.035714286
Semi-dry,5.285714286,3.5,4.785714286,2.25
Semi-dry,4.25,6.357142857,4.071428571,2.142857143
Semi-dry,6.071428571,3.714285714,3.357142857,1.178571429
Semi-dry,5.535714286,2.857142857,3,0.785714286
Semi-dry,5.642857143,4.785714286,4.035714286,2.107142857
Semi-dry,5.142857143,5.5,2.928571429,1.75
Semi-dry,5.785714286,5.428571429,2.321428571,1.428571429
Semi-dry,5.392857143,4.821428571,3.142857143,1.107142857
Semi-dry,4.678571429,3.678571429,6.464285714,3.321428571
Semi-dry,6.428571429,6.535714286,2.5,1.607142857
Semi-dry,5.214285714,5.035714286,3.642857143,2.071428571
Semi-dry,5.75,5.214285714,3.214285714,1.607142857
Sweet,4.892857143,4.214285714,5.357142857,2.25
Sweet,6,4.642857143,3.821428571,1.5
Sweet,6.035714286,4.214285714,3,1.642857143
Sweet,4.5,4.035714286,6.285714286,2.821428571
Sweet,6.071428571,4.035714286,4.142857143,2.535714286
Sweet,7.035714286,4.892857143,2.142857143,0.892857143
Sweet,6.392857143,6.285714286,2.571428571,1.285714286
Sweet,6.178571429,4.464285714,2.928571429,1.5
Sweet,6.75,5.285714286,2.428571429,1.035714286
Sweet,6.214285714,5.142857143,2.607142857,1.107142857
