,0,1,2,3,4,5,6,7
0,0.1,Adam,100,CrossEntropyLoss(),0.1,"[334.35764764547355, 2.2720926841100058, 2.271455160776774, 2.272768398125966, 2.2728914737701413, 2.272974975903829, 2.274051324526469, 2.2729825218518576, 2.2730707645416257, 2.273492459456125]",15.65,17.89
1,0.1,RMSProp,100,CrossEntropyLoss(),0.1,"[2.2940438469250997, 2.281462275981902, 2.277614549795787, 2.279594067732493, 2.2782095114390057, 2.275767862796783, 2.2778183380762735, 2.2775625189145403, 2.2769284327824915, 2.276837762196858]",15.65,17.89
2,0.1,SGD,100,CrossEntropyLoss(),0.1,"[2.271901230017345, 2.2700659394264227, 2.269365847110749, 2.2691370050112405, 2.2690080602963767, 2.268983956178029, 2.2689358075459802, 2.268957281112671, 2.2689793149630235, 2.2690106113751733]",15.65,17.89
3,0.05,Adam,100,CrossEntropyLoss(),0.1,"[2.2721183141072587, 2.273477776845296, 2.273256027698517, 2.274778950214386, 2.273396305243174, 2.2730321804682423, 2.2718495051066077, 2.2738754312197367, 2.2723184982935587, 2.273279829819998]",15.65,17.89
4,0.05,RMSProp,100,CrossEntropyLoss(),0.1,"[2.280059746901195, 2.273645619551341, 2.272953005631764, 2.2730286002159126, 2.2732825597127277, 2.273279078801474, 2.2732251922289533, 2.2736521561940504, 2.2732883890469857, 2.2736383954683945]",15.65,17.89
5,0.05,SGD,100,CrossEntropyLoss(),0.1,"[2.2711803078651434, 2.270206340154011, 2.269631640116373, 2.2692604144414266, 2.2690682411193857, 2.2689402540524806, 2.2689099073410035, 2.268841675917307, 2.2688293496767686, 2.268816832701365]",15.65,17.89
6,0.01,Adam,100,CrossEntropyLoss(),0.1,"[2.2699179848035174, 2.269451288382212, 2.2696155150731396, 2.2694522221883133, 2.269514870643616, 2.2694924116134647, 2.269519058863323, 2.2694365183512373, 2.2694700558980303, 2.2695538759231573]",15.65,17.89
7,0.01,RMSProp,100,CrossEntropyLoss(),0.1,"[2.271382109324137, 2.27029547293981, 2.269836489359538, 2.269935556252797, 2.2696974237759906, 2.2697504361470537, 2.2699270884195966, 2.2696194330851234, 2.2698545455932613, 2.2697048385938015]",15.65,17.89
8,0.01,SGD,100,CrossEntropyLoss(),0.1,"[2.268770273526509, 2.268757021427154, 2.268734447161356, 2.268722212314606, 2.268712051709493, 2.268696737289428, 2.268692978223166, 2.268678843975067, 2.268673074245453, 2.2686750650405876]",15.65,17.89
9,0.001,Adam,100,CrossEntropyLoss(),0.1,"[2.2687604745229084, 2.268701720237732, 2.2687267025311795, 2.2687254071235654, 2.268667622407279, 2.2687413851420084, 2.2686822772026067, 2.2686811208724973, 2.268710684776306, 2.268681935469308]",15.65,17.89
10,0.001,RMSProp,100,CrossEntropyLoss(),0.1,"[2.2690515240033475, 2.2688117742538454, 2.268763248125711, 2.268745891253154, 2.268728347619376, 2.2687377929687504, 2.2687193155288696, 2.268720885117849, 2.2687178174654643, 2.26871565580368]",15.65,17.89
11,0.001,SGD,100,CrossEntropyLoss(),0.1,"[2.2685843825340273, 2.268584338823954, 2.268584469954173, 2.2685844143231706, 2.268584942817688, 2.268584497769673, 2.2685849547386168, 2.268584398428599, 2.268584724267323, 2.2685844421386716]",15.65,17.89
