,index,month,specialty_group,is_new_churner,practice_region,practitioner_id
0,25,2018-02-01,Dentists,True,Grand Est,4
1,26,2018-02-01,Dentists,True,Provence-Alpes-Côte d'Azur,1
2,27,2018-02-01,Dentists,True,Île-de-France,8
3,42,2018-02-01,GPs,True,Bretagne,2
4,43,2018-02-01,GPs,True,Hauts-de-France,1
5,44,2018-02-01,GPs,True,Occitanie,1
6,45,2018-02-01,GPs,True,Pays de la Loire,4
7,46,2018-02-01,GPs,True,Provence-Alpes-Côte d'Azur,2
8,47,2018-02-01,GPs,True,Île-de-France,5
9,62,2018-02-01,Gynaecologists,True,Occitanie,2
10,63,2018-02-01,Gynaecologists,True,Provence-Alpes-Côte d'Azur,7
11,64,2018-02-01,Gynaecologists,True,Île-de-France,2
12,77,2018-02-01,Midwives,True,Auvergne-Rhône-Alpes,1
13,92,2018-02-01,Non-surgical specialists,True,Auvergne-Rhône-Alpes,1
14,93,2018-02-01,Non-surgical specialists,True,Bretagne,2
15,94,2018-02-01,Non-surgical specialists,True,Grand Est,5
16,95,2018-02-01,Non-surgical specialists,True,Occitanie,4
17,96,2018-02-01,Non-surgical specialists,True,Pays de la Loire,1
18,97,2018-02-01,Non-surgical specialists,True,Provence-Alpes-Côte d'Azur,3
19,118,2018-02-01,Osteopaths,True,Centre-Val de Loire,1
20,119,2018-02-01,Osteopaths,True,Hauts-de-France,2
21,120,2018-02-01,Osteopaths,True,Provence-Alpes-Côte d'Azur,1
22,121,2018-02-01,Osteopaths,True,Île-de-France,7
23,135,2018-02-01,Other non-doctors,True,Île-de-France,6
24,148,2018-02-01,Pediatricians,True,Auvergne-Rhône-Alpes,2
25,149,2018-02-01,Pediatricians,True,Occitanie,1
26,162,2018-02-01,Physiotherapists,True,Hauts-de-France,3
27,163,2018-02-01,Physiotherapists,True,Nouvelle-Aquitaine,1
28,164,2018-02-01,Physiotherapists,True,Île-de-France,6
29,178,2018-02-01,Psychologists,True,Île-de-France,4
30,197,2018-02-01,Surgeons,True,Auvergne-Rhône-Alpes,1
31,198,2018-02-01,Surgeons,True,Grand Est,1
32,199,2018-02-01,Surgeons,True,Nouvelle-Aquitaine,6
33,200,2018-02-01,Surgeons,True,Occitanie,1
34,201,2018-02-01,Surgeons,True,Provence-Alpes-Côte d'Azur,2
35,202,2018-02-01,Surgeons,True,Île-de-France,1
36,228,2018-03-01,Dentists,True,Auvergne-Rhône-Alpes,2
37,229,2018-03-01,Dentists,True,Hauts-de-France,4
38,230,2018-03-01,Dentists,True,Nouvelle-Aquitaine,4
39,231,2018-03-01,Dentists,True,Occitanie,1
40,232,2018-03-01,Dentists,True,Île-de-France,20
41,247,2018-03-01,GPs,True,Auvergne-Rhône-Alpes,16
42,248,2018-03-01,GPs,True,DOM-TOM,2
43,249,2018-03-01,GPs,True,Grand Est,2
44,250,2018-03-01,GPs,True,Hauts-de-France,2
45,251,2018-03-01,GPs,True,Occitanie,1
46,252,2018-03-01,GPs,True,Provence-Alpes-Côte d'Azur,2
47,267,2018-03-01,Gynaecologists,True,Bretagne,1
48,268,2018-03-01,Gynaecologists,True,Normandie,1
49,269,2018-03-01,Gynaecologists,True,Nouvelle-Aquitaine,2
50,270,2018-03-01,Gynaecologists,True,Provence-Alpes-Côte d'Azur,2
51,271,2018-03-01,Gynaecologists,True,Île-de-France,2
52,284,2018-03-01,Midwives,True,Grand Est,1
53,299,2018-03-01,Non-surgical specialists,True,Auvergne-Rhône-Alpes,1
54,300,2018-03-01,Non-surgical specialists,True,Grand Est,3
55,301,2018-03-01,Non-surgical specialists,True,Hauts-de-France,2
56,302,2018-03-01,Non-surgical specialists,True,Nouvelle-Aquitaine,1
57,303,2018-03-01,Non-surgical specialists,True,Pays de la Loire,6
58,304,2018-03-01,Non-surgical specialists,True,Provence-Alpes-Côte d'Azur,1
59,305,2018-03-01,Non-surgical specialists,True,Île-de-France,7
60,326,2018-03-01,Osteopaths,True,Auvergne-Rhône-Alpes,1
61,327,2018-03-01,Osteopaths,True,Nouvelle-Aquitaine,3
62,328,2018-03-01,Osteopaths,True,Pays de la Loire,3
63,329,2018-03-01,Osteopaths,True,Provence-Alpes-Côte d'Azur,1
64,330,2018-03-01,Osteopaths,True,Île-de-France,7
65,344,2018-03-01,Other non-doctors,True,Auvergne-Rhône-Alpes,4
66,345,2018-03-01,Other non-doctors,True,Hauts-de-France,1
67,346,2018-03-01,Other non-doctors,True,Île-de-France,2
68,371,2018-03-01,Physiotherapists,True,Hauts-de-France,1
69,372,2018-03-01,Physiotherapists,True,Île-de-France,4
70,386,2018-03-01,Psychologists,True,Île-de-France,10
