MoM Growth Rate,Location,Speciality,1/2/22,1/3/22,1/1/23,1/1/24,1/1/25,1/1/26,1/1/27,Profit,,2/1/22
0.012490088,Auvergne-Rhône-Alpes,Anesthetists,33,33.4121729,37.82792529,43.90377718,50.95552124,59.13990349,68.63884618,"1,437.99 €",,"€ 170,029,873.69"
0.045,Bourgogne-Franche-Comté,Anesthetists,9,9.405,14.60567741,24.76949713,42.00613029,71.23741642,120.8102118,"1,186.79 €",,
0.078577831,Bretagne,Anesthetists,4,4.314311325,9.192346321,22.7847493,56.47576607,139.9845182,346.9747595,0.00 €,,3/1/22
-0.00452381,Centre-Val de Loire,Anesthetists,6,5.972857143,5.708091144,5.405818061,5.119551908,4.848445035,4.59169468,"-1,025.85 €",,"€ 176,679,123.39"
0.051119148,Corse,Anesthetists,3,3.153357445,5.191497861,9.44313181,17.17668788,31.24372427,56.83111396,"-2,300.85 €",,
0.087539034,Grand Est,Anesthetists,9,9.787851307,22.65353072,62.01177226,169.7510179,464.6764159,1272.005165,996.76 €,,1/1/23
0.023628724,Hauts-de-France,Anesthetists,25,25.59071811,32.32266156,42.77762659,56.61431481,74.92656552,99.16202712,-571.33 €,,"€ 264,274,579.71"
0.010356476,Île-de-France,Anesthetists,102,103.0563605,114.2407629,129.2756253,146.2891779,165.54183,187.3282621,"1,382.06 €",,
0.043333333,Normandie,Anesthetists,7,7.303333333,11.16225529,18.57072868,30.89626198,51.40234508,85.51847087,"1,521.15 €",,1/1/24
0.028645462,Nouvelle-Aquitaine,Anesthetists,26,26.744782,35.47286008,49.78342571,69.86720185,98.05323408,137.6101584,"1,521.15 €",,"€ 451,007,779.62"
0.030288684,Occitanie,Anesthetists,17,17.51490762,23.6046273,33.76791948,48.30715483,69.10645501,98.86117575,360.28 €,,
0.046421356,Pays de la Loire,Anesthetists,9,9.417792208,14.82569461,25.55607682,44.05277998,75.93682855,130.8975718,0.00 €,,1/1/25
0.066618971,Provence-Alpes-Côte d'Azur,Anesthetists,78,83.19627972,158.5612073,343.8021504,745.4529431,1616.336866,3504.640889,"1,272.58 €",,"€ 822,625,616.05"
0.034576362,Auvergne-Rhône-Alpes,Dentists,1036,1071.821112,1505.732496,2264.114795,3404.466477,5119.171526,7697.510694,"1,437.93 €",,
0.033195608,Bourgogne-Franche-Comté,Dentists,160,165.3112973,229.1543193,339.0928745,501.7753011,742.5058788,1098.728811,"1,311.77 €",,1/1/26
0.021806492,Bretagne,Dentists,237,242.1681386,300.4717036,389.2489684,504.2563329,653.2437332,846.2508989,"1,329.78 €",,"€ 1,629,388,798.96"
0.017026105,Centre-Val de Loire,Dentists,146,148.4858113,175.7947741,215.2737944,263.6187952,322.8208496,395.3181746,"1,452.30 €",,
0.066337676,Corse,Dentists,23,24.52576656,46.61977058,100.7644137,217.7931581,470.7401946,1017.462315,575.30 €,,1/1/27
0.058666667,DOM-TOM,Dentists,19,20.11466667,35.57174991,70.50438015,139.742004,276.9732555,548.9701165,"1,067.16 €",,"€ 3,608,412,020.92"
0.030229213,Grand Est,Dentists,976,1005.503712,1354.323087,1936.103663,2767.801442,3956.774098,5656.497255,"1,461.20 €",,
0.027884894,Hauts-de-France,Dentists,756,777.0809795,1023.083577,1423.131116,1979.605792,2753.673955,3830.419311,"1,492.47 €",,
0.019120992,Île-de-France,Dentists,4327,4409.736534,5329.299384,6689.275592,8396.302163,10538.94238,13228.35985,"1,541.63 €",,
0.028175215,Normandie,Dentists,179,184.0433634,242.9917148,339.1540686,473.3720337,660.7058652,922.1758136,"1,375.53 €",,
0.035661491,Nouvelle-Aquitaine,Dentists,835,864.7773446,1227.672657,1869.37538,2846.49519,4334.354113,6599.914744,"1,456.70 €",,
0.037563589,Occitanie,Dentists,1090,1130.944312,1635.266149,2545.453209,3962.249229,6167.632113,9600.528306,"1,460.59 €",,
0.025480062,Pays de la Loire,Dentists,292,299.4401782,385.1077721,520.8455243,704.4263447,952.7133323,1288.513271,"1,387.00 €",,
0.031251321,Provence-Alpes-Côte d'Azur,Dentists,1514,1561.314501,2123.907379,3072.626631,4445.125296,6430.699615,9303.201774,"1,491.29 €",,
0.032354394,Auvergne-Rhône-Alpes,GPs,2493,2573.659505,3538.662933,5185.431792,7598.548768,11134.64523,16316.31621,"1,602.00 €",,
0.042564901,Bourgogne-Franche-Comté,GPs,579,603.6450776,915.8253526,1510.253531,2490.502934,4106.995771,6772.693993,"1,575.15 €",,
0.029357834,Bretagne,GPs,936,963.4789325,1286.784921,1820.968577,2576.908156,3646.661304,5160.5016,"1,568.02 €",,
0.029777611,Centre-Val de Loire,GPs,468,481.9359219,646.284517,919.0626047,1306.97247,1858.607921,2643.072813,"1,483.35 €",,
0.016962773,Corse,GPs,49,49.83117589,58.95921471,72.14601643,88.28217458,108.0273414,132.1887068,"1,290.28 €",,
