,specialty_group,practice_region,month,groupsize
0,Anesthetists,Auvergne-Rhône-Alpes,2018-01-01,34
1,Anesthetists,Auvergne-Rhône-Alpes,2018-02-01,34
2,Anesthetists,Auvergne-Rhône-Alpes,2018-03-01,34
3,Anesthetists,Auvergne-Rhône-Alpes,2018-04-01,34
4,Anesthetists,Auvergne-Rhône-Alpes,2018-05-01,34
5,Anesthetists,Auvergne-Rhône-Alpes,2018-06-01,34
6,Anesthetists,Auvergne-Rhône-Alpes,2018-07-01,34
7,Anesthetists,Auvergne-Rhône-Alpes,2018-08-01,34
8,Anesthetists,Auvergne-Rhône-Alpes,2018-09-01,26
9,Anesthetists,Auvergne-Rhône-Alpes,2018-10-01,36
10,Anesthetists,Auvergne-Rhône-Alpes,2018-11-01,43
11,Anesthetists,Auvergne-Rhône-Alpes,2018-12-01,44
12,Anesthetists,Auvergne-Rhône-Alpes,2019-01-01,42
13,Anesthetists,Auvergne-Rhône-Alpes,2019-02-01,42
14,Anesthetists,Auvergne-Rhône-Alpes,2019-03-01,42
15,Anesthetists,Auvergne-Rhône-Alpes,2019-04-01,42
16,Anesthetists,Auvergne-Rhône-Alpes,2019-05-01,42
17,Anesthetists,Auvergne-Rhône-Alpes,2019-06-01,42
18,Anesthetists,Auvergne-Rhône-Alpes,2019-07-01,42
19,Anesthetists,Auvergne-Rhône-Alpes,2019-08-01,42
20,Anesthetists,Auvergne-Rhône-Alpes,2019-09-01,42
21,Anesthetists,Auvergne-Rhône-Alpes,2019-10-01,26
22,Anesthetists,Auvergne-Rhône-Alpes,2019-11-01,26
23,Anesthetists,Auvergne-Rhône-Alpes,2019-12-01,26
24,Anesthetists,Auvergne-Rhône-Alpes,2020-01-01,26
25,Anesthetists,Auvergne-Rhône-Alpes,2020-02-01,26
26,Anesthetists,Auvergne-Rhône-Alpes,2020-03-01,26
27,Anesthetists,Auvergne-Rhône-Alpes,2020-04-01,26
28,Anesthetists,Auvergne-Rhône-Alpes,2020-05-01,26
29,Anesthetists,Auvergne-Rhône-Alpes,2020-06-01,26
30,Anesthetists,Auvergne-Rhône-Alpes,2020-07-01,27
31,Anesthetists,Auvergne-Rhône-Alpes,2020-08-01,27
32,Anesthetists,Auvergne-Rhône-Alpes,2020-09-01,27
33,Anesthetists,Auvergne-Rhône-Alpes,2020-10-01,27
34,Anesthetists,Auvergne-Rhône-Alpes,2020-11-01,28
35,Anesthetists,Auvergne-Rhône-Alpes,2020-12-01,30
36,Anesthetists,Auvergne-Rhône-Alpes,2021-01-01,30
37,Anesthetists,Auvergne-Rhône-Alpes,2021-02-01,30
38,Anesthetists,Auvergne-Rhône-Alpes,2021-03-01,30
39,Anesthetists,Auvergne-Rhône-Alpes,2021-04-01,30
40,Anesthetists,Auvergne-Rhône-Alpes,2021-05-01,30
41,Anesthetists,Auvergne-Rhône-Alpes,2021-06-01,30
42,Anesthetists,Auvergne-Rhône-Alpes,2021-07-01,30
43,Anesthetists,Auvergne-Rhône-Alpes,2021-08-01,30
44,Anesthetists,Auvergne-Rhône-Alpes,2021-09-01,44
45,Anesthetists,Auvergne-Rhône-Alpes,2021-10-01,43
46,Anesthetists,Auvergne-Rhône-Alpes,2021-11-01,43
47,Anesthetists,Auvergne-Rhône-Alpes,2021-12-01,43
48,Anesthetists,Auvergne-Rhône-Alpes,2022-01-01,47
49,Anesthetists,Auvergne-Rhône-Alpes,2022-02-01,47
50,Anesthetists,Bourgogne-Franche-Comté,2018-01-01,2
51,Anesthetists,Bourgogne-Franche-Comté,2018-02-01,2
52,Anesthetists,Bourgogne-Franche-Comté,2018-03-01,2
53,Anesthetists,Bourgogne-Franche-Comté,2018-04-01,2
54,Anesthetists,Bourgogne-Franche-Comté,2018-05-01,2
55,Anesthetists,Bourgogne-Franche-Comté,2018-06-01,2
56,Anesthetists,Bourgogne-Franche-Comté,2018-07-01,2
57,Anesthetists,Bourgogne-Franche-Comté,2018-08-01,2
58,Anesthetists,Bourgogne-Franche-Comté,2018-09-01,2
59,Anesthetists,Bourgogne-Franche-Comté,2018-10-01,2
60,Anesthetists,Bourgogne-Franche-Comté,2018-11-01,2
61,Anesthetists,Bourgogne-Franche-Comté,2018-12-01,2
62,Anesthetists,Bourgogne-Franche-Comté,2019-01-01,2
63,Anesthetists,Bourgogne-Franche-Comté,2019-02-01,2
64,Anesthetists,Bourgogne-Franche-Comté,2019-03-01,2
65,Anesthetists,Bourgogne-Franche-Comté,2019-04-01,2
66,Anesthetists,Bourgogne-Franche-Comté,2019-05-01,2
67,Anesthetists,Bourgogne-Franche-Comté,2019-06-01,2
68,Anesthetists,Bourgogne-Franche-Comté,2019-07-01,2
69,Anesthetists,Bourgogne-Franche-Comté,2019-08-01,2
70,Anesthetists,Bourgogne-Franche-Comté,2019-09-01,2
71,Anesthetists,Bourgogne-Franche-Comté,2019-10-01,2
72,Anesthetists,Bourgogne-Franche-Comté,2019-11-01,2
73,Anesthetists,Bourgogne-Franche-Comté,2019-12-01,2
74,Anesthetists,Bourgogne-Franche-Comté,2020-01-01,2
75,Anesthetists,Bourgogne-Franche-Comté,2020-02-01,2
76,Anesthetists,Bourgogne-Franche-Comté,2020-03-01,2
77,Anesthetists,Bourgogne-Franche-Comté,2020-04-01,2
78,Anesthetists,Bourgogne-Franche-Comté,2020-05-01,2
79,Anesthetists,Bourgogne-Franche-Comté,2020-06-01,2
80,Anesthetists,Bourgogne-Franche-Comté,2020-07-01,2
81,Anesthetists,Bourgogne-Franche-Comté,2020-08-01,2
82,Anesthetists,Bourgogne-Franche-Comté,2020-09-01,2
83,Anesthetists,Bourgogne-Franche-Comté,2020-10-01,2
84,Anesthetists,Bourgogne-Franche-Comté,2020-11-01,2
85,Anesthetists,Bourgogne-Franche-Comté,2020-12-01,2
86,Anesthetists,Bourgogne-Franche-Comté,2021-01-01,2
87,Anesthetists,Bourgogne-Franche-Comté,2021-02-01,2
88,Anesthetists,Bourgogne-Franche-Comté,2021-03-01,2
89,Anesthetists,Bourgogne-Franche-Comté,2021-04-01,2
90,Anesthetists,Bourgogne-Franche-Comté,2021-05-01,2
91,Anesthetists,Bourgogne-Franche-Comté,2021-06-01,2
92,Anesthetists,Bourgogne-Franche-Comté,2021-07-01,2
93,Anesthetists,Bourgogne-Franche-Comté,2021-08-01,2
94,Anesthetists,Bourgogne-Franche-Comté,2021-09-01,4
95,Anesthetists,Bourgogne-Franche-Comté,2021-10-01,5
96,Anesthetists,Bourgogne-Franche-Comté,2021-11-01,5
97,Anesthetists,Bourgogne-Franche-Comté,2021-12-01,5
98,Anesthetists,Bourgogne-Franche-Comté,2022-01-01,10
99,Anesthetists,Bourgogne-Franche-Comté,2022-02-01,10
100,Anesthetists,Bretagne,2020-04-01,11
101,Anesthetists,Bretagne,2020-05-01,11
102,Anesthetists,Bretagne,2020-06-01,11
103,Anesthetists,Bretagne,2020-07-01,11
104,Anesthetists,Bretagne,2020-08-01,11
105,Anesthetists,Bretagne,2020-09-01,50
106,Anesthetists,Bretagne,2020-10-01,50
107,Anesthetists,Bretagne,2020-11-01,50
108,Anesthetists,Bretagne,2020-12-01,50
109,Anesthetists,Bretagne,2021-01-01,50
110,Anesthetists,Bretagne,2021-02-01,50
111,Anesthetists,Bretagne,2021-03-01,50
112,Anesthetists,Bretagne,2021-04-01,50
113,Anesthetists,Bretagne,2021-05-01,50
114,Anesthetists,Bretagne,2021-06-01,50
115,Anesthetists,Bretagne,2021-07-01,50
116,Anesthetists,Bretagne,2021-08-01,50
117,Anesthetists,Bretagne,2021-09-01,50
118,Anesthetists,Bretagne,2021-10-01,50
119,Anesthetists,Bretagne,2021-11-01,50
120,Anesthetists,Bretagne,2021-12-01,50
121,Anesthetists,Bretagne,2022-01-01,50
122,Anesthetists,Bretagne,2022-02-01,50
123,Anesthetists,Centre-Val de Loire,2018-01-01,8
124,Anesthetists,Centre-Val de Loire,2018-02-01,8
125,Anesthetists,Centre-Val de Loire,2018-03-01,8
126,Anesthetists,Centre-Val de Loire,2018-04-01,8
127,Anesthetists,Centre-Val de Loire,2018-05-01,8
128,Anesthetists,Centre-Val de Loire,2018-06-01,8
129,Anesthetists,Centre-Val de Loire,2018-07-01,8
130,Anesthetists,Centre-Val de Loire,2018-08-01,8
131,Anesthetists,Centre-Val de Loire,2018-09-01,8
132,Anesthetists,Centre-Val de Loire,2018-10-01,8
133,Anesthetists,Centre-Val de Loire,2018-11-01,8
134,Anesthetists,Centre-Val de Loire,2018-12-01,8
135,Anesthetists,Centre-Val de Loire,2019-01-01,8
136,Anesthetists,Centre-Val de Loire,2019-02-01,8
137,Anesthetists,Centre-Val de Loire,2019-03-01,8
138,Anesthetists,Centre-Val de Loire,2019-04-01,8
139,Anesthetists,Centre-Val de Loire,2019-05-01,8
140,Anesthetists,Centre-Val de Loire,2019-06-01,8
141,Anesthetists,Centre-Val de Loire,2019-07-01,8
142,Anesthetists,Centre-Val de Loire,2019-08-01,8
143,Anesthetists,Centre-Val de Loire,2019-09-01,8
144,Anesthetists,Centre-Val de Loire,2019-10-01,8
145,Anesthetists,Centre-Val de Loire,2019-11-01,8
146,Anesthetists,Centre-Val de Loire,2019-12-01,8
147,Anesthetists,Centre-Val de Loire,2020-01-01,8
148,Anesthetists,Centre-Val de Loire,2020-02-01,8
149,Anesthetists,Centre-Val de Loire,2020-03-01,8
150,Anesthetists,Centre-Val de Loire,2020-04-01,8
151,Anesthetists,Centre-Val de Loire,2020-05-01,6
152,Anesthetists,Centre-Val de Loire,2020-06-01,6
153,Anesthetists,Centre-Val de Loire,2020-07-01,6
154,Anesthetists,Centre-Val de Loire,2020-08-01,6
155,Anesthetists,Centre-Val de Loire,2020-09-01,6
156,Anesthetists,Centre-Val de Loire,2020-10-01,6
157,Anesthetists,Centre-Val de Loire,2020-11-01,7
158,Anesthetists,Centre-Val de Loire,2020-12-01,6
159,Anesthetists,Centre-Val de Loire,2021-01-01,6
160,Anesthetists,Centre-Val de Loire,2021-02-01,6
161,Anesthetists,Centre-Val de Loire,2021-03-01,6
162,Anesthetists,Centre-Val de Loire,2021-04-01,6
163,Anesthetists,Centre-Val de Loire,2021-05-01,6
164,Anesthetists,Centre-Val de Loire,2021-06-01,6
165,Anesthetists,Centre-Val de Loire,2021-07-01,6
166,Anesthetists,Centre-Val de Loire,2021-08-01,6
167,Anesthetists,Centre-Val de Loire,2021-09-01,6
168,Anesthetists,Centre-Val de Loire,2021-10-01,6
169,Anesthetists,Centre-Val de Loire,2021-11-01,6
170,Anesthetists,Centre-Val de Loire,2021-12-01,6
171,Anesthetists,Centre-Val de Loire,2022-01-01,6
172,Anesthetists,Centre-Val de Loire,2022-02-01,6
173,Anesthetists,Corse,2020-05-01,1
174,Anesthetists,Corse,2020-06-01,1
175,Anesthetists,Corse,2020-07-01,1
176,Anesthetists,Corse,2020-08-01,1
177,Anesthetists,Corse,2020-09-01,1
178,Anesthetists,Corse,2020-10-01,1
179,Anesthetists,Corse,2020-11-01,3
180,Anesthetists,Corse,2020-12-01,3
181,Anesthetists,Corse,2021-01-01,3
182,Anesthetists,Corse,2021-02-01,3
183,Anesthetists,Corse,2021-03-01,3
184,Anesthetists,Corse,2021-04-01,3
185,Anesthetists,Corse,2021-05-01,3
186,Anesthetists,Corse,2021-06-01,3
187,Anesthetists,Corse,2021-07-01,3
188,Anesthetists,Corse,2021-08-01,3
189,Anesthetists,Corse,2021-09-01,5
190,Anesthetists,Corse,2021-10-01,5
191,Anesthetists,Corse,2021-11-01,5
192,Anesthetists,Corse,2021-12-01,3
193,Anesthetists,Corse,2022-01-01,3
194,Anesthetists,Corse,2022-02-01,3
195,Anesthetists,Grand Est,2018-01-01,1
196,Anesthetists,Grand Est,2018-02-01,3
197,Anesthetists,Grand Est,2018-03-01,3
198,Anesthetists,Grand Est,2018-04-01,3
199,Anesthetists,Grand Est,2018-05-01,3
200,Anesthetists,Grand Est,2018-06-01,4
201,Anesthetists,Grand Est,2018-07-01,4
202,Anesthetists,Grand Est,2018-08-01,4
203,Anesthetists,Grand Est,2018-09-01,4
204,Anesthetists,Grand Est,2018-10-01,5
205,Anesthetists,Grand Est,2018-11-01,9
206,Anesthetists,Grand Est,2018-12-01,9
207,Anesthetists,Grand Est,2019-01-01,9
208,Anesthetists,Grand Est,2019-02-01,9
209,Anesthetists,Grand Est,2019-03-01,9
210,Anesthetists,Grand Est,2019-04-01,9
211,Anesthetists,Grand Est,2019-05-01,9
212,Anesthetists,Grand Est,2019-06-01,9
213,Anesthetists,Grand Est,2019-07-01,9
214,Anesthetists,Grand Est,2019-08-01,9
215,Anesthetists,Grand Est,2019-09-01,11
216,Anesthetists,Grand Est,2019-10-01,11
217,Anesthetists,Grand Est,2019-11-01,11
218,Anesthetists,Grand Est,2019-12-01,11
219,Anesthetists,Grand Est,2020-01-01,11
220,Anesthetists,Grand Est,2020-02-01,11
221,Anesthetists,Grand Est,2020-03-01,11
222,Anesthetists,Grand Est,2020-04-01,11
223,Anesthetists,Grand Est,2020-05-01,15
224,Anesthetists,Grand Est,2020-06-01,15
225,Anesthetists,Grand Est,2020-07-01,15
226,Anesthetists,Grand Est,2020-08-01,15
227,Anesthetists,Grand Est,2020-09-01,15
228,Anesthetists,Grand Est,2020-10-01,15
229,Anesthetists,Grand Est,2020-11-01,15
