Questions,17th/18th Century Philosophy,19th Century Philosophy,20th Century Philosophy,Aesthetics,African/Africana Philosophy,Ancient Greek and Roman Philosophy,Applied Ethics,Asian Philosophy,Continental Philosophy,Decision Theory,Epistemology,Feminist Philosophy,General Philosophy of Science,Logic and Philosophy of Logic,Medieval and Renaissance Philosophy,Meta-Ethics,Metaphilosophy,Metaphysics,Normative Ethics,Philosophy of Action,Philosophy of Biology,Philosophy of Cognitive Science,Philosophy of Computing and Information,"Philosophy of Gender, Race, and Sexuality",Philosophy of Language,Philosophy of Law,Philosophy of Mathematics,Philosophy of Mind,Philosophy of Physical Science,Philosophy of Religion,Philosophy of the Americas,Philosophy of Social Science,Social and Political Philosophy
Wittgenstein,"Accept or lean towards:late: 0.6392
","Accept or lean towards:late: 0.8095
","Accept or lean towards:late: 0.6901
","Accept or lean towards:late: 0.6774
",*NA*,"Accept or lean towards:late: 0.4918
","Accept or lean towards:late: 0.6311
","Accept or lean towards:late: 0.68
","Accept or lean towards:late: 0.8571
","Accept or lean towards:late: 0.375
","Accept or lean towards:late: 0.5194
","Accept or lean towards:late: 0.7143
","Accept or lean towards:late: 0.5128
","Accept or lean towards:late: 0.4639
","Accept or lean towards:late: 0.5333
","Accept or lean towards:late: 0.5294
","Accept or lean towards:late: 0.4091
","Accept or lean towards:late: 0.4458
","Accept or lean towards:late: 0.55
","Accept or lean towards:late: 0.6418
","Accept or lean towards:late: 0.5
","Accept or lean towards:late: 0.6333
","Accept or lean towards:late: 0.6923
","Accept or lean towards:late: 0.7037
","Accept or lean towards:late: 0.5864
","Accept or lean towards:late: 0.4231
","Accept or lean towards:late: 0.5278
","Accept or lean towards:late: 0.589
","Accept or lean towards:late: 0.4595
","Accept or lean towards:late: 0.5128
","Accept or lean towards:late: 1.0
","Accept or lean towards:late: 0.525
","Accept or lean towards:late: 0.72
"
A priori knowledge,"Accept or lean towards:yes: 0.7469
","Accept or lean towards:yes: 0.6818
","Accept or lean towards:yes: 0.6889
","Accept or lean towards:yes: 0.7849
","Accept or lean towards:yes: 0.75
","Accept or lean towards:yes: 0.7347
","Accept or lean towards:yes: 0.7511
","Accept or lean towards:yes: 0.6111
","Accept or lean towards:yes: 0.5914
","Accept or lean towards:yes: 0.8298
","Accept or lean towards:yes: 0.7612
","Accept or lean towards:yes: 0.5926
","Accept or lean towards:yes: 0.5969
","Accept or lean towards:yes: 0.82
","Accept or lean towards:yes: 0.68
","Accept or lean towards:yes: 0.8296
","Accept or lean towards:yes: 0.6667
","Accept or lean towards:yes: 0.8059
","Accept or lean towards:yes: 0.8046
","Accept or lean towards:yes: 0.8273
","Accept or lean towards:yes: 0.5152
","Accept or lean towards:yes: 0.6235
","Accept or lean towards:yes: 0.72
","Accept or lean towards:yes: 0.6154
","Accept or lean towards:yes: 0.8036
","Accept or lean towards:yes: 0.82
","Accept or lean towards:yes: 0.7755
","Accept or lean towards:yes: 0.7529
","Accept or lean towards:yes: 0.6
","Accept or lean towards:yes: 0.8298
","Accept or lean towards:yes: 0.3571
Accept or lean towards:no: 0.3571
","Accept or lean towards:yes: 0.5085
","Accept or lean towards:yes: 0.7025
"
Abstract objects,"Accept or lean towards:nominalism: 0.5414
","Accept or lean towards:nominalism: 0.4762
","Accept or lean towards:nominalism: 0.4297
Accept or lean towards:Platonism: 0.3984
","Accept or lean towards:Platonism: 0.4091
Accept or lean towards:nominalism: 0.3864
","Accept or lean towards:nominalism: 0.4444
","Accept or lean towards:Platonism: 0.5258
","Accept or lean towards:nominalism: 0.4813
","Accept or lean towards:nominalism: 0.6176
","Accept or lean towards:nominalism: 0.5
","Accept or lean towards:nominalism: 0.4615
","Accept or lean towards:Platonism: 0.4804
","Accept or lean towards:nominalism: 0.589
","Accept or lean towards:nominalism: 0.5181
","Accept or lean towards:Platonism: 0.5467
","Accept or lean towards:Platonism: 0.36
Accept or lean towards:nominalism: 0.36
","Accept or lean towards:Platonism: 0.4223
Accept or lean towards:nominalism: 0.4029
","Accept or lean towards:Platonism: 0.3623
","Accept or lean towards:Platonism: 0.5175
","Accept or lean towards:nominalism: 0.4211
Accept or lean towards:Platonism: 0.375
","Accept or lean towards:nominalism: 0.4257
","Accept or lean towards:nominalism: 0.5938
","Accept or lean towards:nominalism: 0.5839
","Accept or lean towards:nominalism: 0.5652
","Accept or lean towards:nominalism: 0.5217
","Accept or lean towards:Platonism: 0.5182
","Accept or lean towards:nominalism: 0.4
","Accept or lean towards:Platonism: 0.5306
","Accept or lean towards:Platonism: 0.4107
Accept or lean towards:nominalism: 0.4018
","Accept or lean towards:nominalism: 0.4032
","Accept or lean towards:Platonism: 0.5441
","Accept or lean towards:nominalism: 0.5714
","Accept or lean towards:nominalism: 0.6316
","Accept or lean towards:nominalism: 0.5333
"
Aesthetic value,"Accept or lean towards:objective: 0.45
Accept or lean towards:subjective: 0.4313
","Accept or lean towards:subjective: 0.4091
","Accept or lean towards:objective: 0.391
Accept or lean towards:subjective: 0.3835
","Accept or lean towards:objective: 0.5806
","Accept or lean towards:subjective: 0.3333
","Accept or lean towards:objective: 0.5612
","Accept or lean towards:subjective: 0.4434
Accept or lean towards:objective: 0.4151
","Accept or lean towards:subjective: 0.5429
","Accept or lean towards:objective: 0.3804
Accept or lean towards:subjective: 0.3804
","Accept or lean towards:subjective: 0.4667
","Accept or lean towards:objective: 0.443
","Accept or lean towards:subjective: 0.5
","Accept or lean towards:subjective: 0.5243
","Accept or lean towards:objective: 0.4583
Accept or lean towards:subjective: 0.4167
","Accept or lean towards:objective: 0.6078
","Accept or lean towards:objective: 0.4711
","Accept or lean towards:objective: 0.3733
Accept or lean towards:subjective: 0.3733
","Accept or lean towards:objective: 0.5127
","Accept or lean towards:objective: 0.4496
","Accept or lean towards:objective: 0.5185
","Accept or lean towards:subjective: 0.6452
","Accept or lean towards:subjective: 0.5519
","Accept or lean towards:subjective: 0.5217
","Accept or lean towards:subjective: 0.4314
","Accept or lean towards:objective: 0.4291
Accept or lean towards:subjective: 0.3946
","Accept or lean towards:objective: 0.4286
","Accept or lean towards:subjective: 0.4222
Accept or lean towards:objective: 0.4
","Accept or lean towards:objective: 0.4529
","Accept or lean towards:subjective: 0.5424
","Accept or lean towards:objective: 0.6741
","Accept or lean towards:objective: 0.3571
","Accept or lean towards:subjective: 0.5556
","Accept or lean towards:subjective: 0.4073
Accept or lean towards:objective: 0.3782
"
Aim of philosophy,"Accept or lean towards:understanding: 0.5697
","Accept or lean towards:understanding: 0.5889
","Accept or lean towards:understanding: 0.6
","Accept or lean towards:understanding: 0.5851
","Accept or lean towards:understanding: 0.5556
","Accept or lean towards:wisdom: 0.5102
Accept or lean towards:truth/knowledge: 0.4796
Accept or lean towards:understanding: 0.4898
","Accept or lean towards:understanding: 0.5134
","Accept or lean towards:wisdom: 0.5
","Accept or lean towards:understanding: 0.4946
Accept or lean towards:wisdom: 0.4731
","Accept or lean towards:understanding: 0.4468
Accept or lean towards:truth/knowledge: 0.4043
","Accept or lean towards:understanding: 0.5721
","Accept or lean towards:understanding: 0.5244
","Accept or lean towards:understanding: 0.5477
","Accept or lean towards:understanding: 0.5364
","Accept or lean towards:understanding: 0.5098
Accept or lean towards:truth/knowledge: 0.4706
Accept or lean towards:wisdom: 0.5098
","Accept or lean towards:understanding: 0.6089
","Accept or lean towards:understanding: 0.641
","Accept or lean towards:understanding: 0.566
","Accept or lean towards:understanding: 0.5678
","Accept or lean towards:understanding: 0.6786
","Accept or lean towards:understanding: 0.6618
","Accept or lean towards:understanding: 0.6173
","Accept or lean towards:understanding: 0.6
","Accept or lean towards:understanding: 0.4909
","Accept or lean towards:understanding: 0.5907
","Accept or lean towards:understanding: 0.56
","Accept or lean towards:understanding: 0.6042
","Accept or lean towards:understanding: 0.6176
","Accept or lean towards:understanding: 0.6094
","Accept or lean towards:wisdom: 0.5035
Accept or lean towards:truth/knowledge: 0.4823
Accept or lean towards:understanding: 0.4681
","Accept or lean towards:understanding: 0.5714
","Accept or lean towards:understanding: 0.6379
","Accept or lean towards:understanding: 0.586
"
Analytic-synthetic distinction,"Accept or lean towards:yes: 0.6933
","Accept or lean towards:yes: 0.5556
","Accept or lean towards:yes: 0.5969
","Accept or lean towards:yes: 0.6437
","Accept or lean towards:no: 0.5
","Accept or lean towards:yes: 0.5806
","Accept or lean towards:yes: 0.652
","Accept or lean towards:yes: 0.6111
","Accept or lean towards:yes: 0.5476
","Accept or lean towards:yes: 0.617
","Accept or lean towards:yes: 0.66
","Accept or lean towards:yes: 0.4156
Accept or lean towards:no: 0.4026
","Accept or lean towards:yes: 0.5729
","Accept or lean towards:yes: 0.6316
","Accept or lean towards:yes: 0.62
","Accept or lean towards:yes: 0.7477
","Accept or lean towards:yes: 0.5584
","Accept or lean towards:yes: 0.6856
","Accept or lean towards:yes: 0.7009
","Accept or lean towards:yes: 0.6667
","Accept or lean towards:yes: 0.5224
","Accept or lean towards:yes: 0.4472
Accept or lean towards:no: 0.4099
","Accept or lean towards:yes: 0.4583
Accept or lean towards:no: 0.4583
","Accept or lean towards:yes: 0.451
Accept or lean towards:no: 0.4314
","Accept or lean towards:yes: 0.7107
","Accept or lean towards:yes: 0.5957
","Accept or lean towards:yes: 0.6735
","Accept or lean towards:yes: 0.6203
","Accept or lean towards:yes: 0.5714
","Accept or lean towards:yes: 0.7174
","Accept or lean towards:yes: 0.3077
Accept or lean towards:no: 0.3077
","Accept or lean towards:yes: 0.5263
","Accept or lean towards:yes: 0.5551
"
Eating animals and animal products,"Accept or lean towards:omnivorism (yes and yes): 0.5671
","Accept or lean towards:omnivorism (yes and yes): 0.5281
","Accept or lean towards:omnivorism (yes and yes): 0.5263
","Accept or lean towards:omnivorism (yes and yes): 0.5213
","Accept or lean towards:omnivorism (yes and yes): 0.4444
Accept or lean towards:vegetarianism (no and yes): 0.4444
","Accept or lean towards:omnivorism (yes and yes): 0.4848
","Accept or lean towards:omnivorism (yes and yes): 0.3644
","Accept or lean towards:omnivorism (yes and yes): 0.5
","Accept or lean towards:omnivorism (yes and yes): 0.5
","Accept or lean towards:veganism (no and no): 0.375
Accept or lean towards:omnivorism (yes and yes): 0.3542
","Accept or lean towards:omnivorism (yes and yes): 0.4194
","Accept or lean towards:veganism (no and no): 0.3902
Accept or lean towards:vegetarianism (no and yes): 0.3659
","Accept or lean towards:omnivorism (yes and yes): 0.56
","Accept or lean towards:omnivorism (yes and yes): 0.5676
","Accept or lean towards:omnivorism (yes and yes): 0.6863
","Accept or lean towards:omnivorism (yes and yes): 0.4714
","Accept or lean towards:omnivorism (yes and yes): 0.4359
","Accept or lean towards:omnivorism (yes and yes): 0.5095
","Accept or lean towards:omnivorism (yes and yes): 0.3922
","Accept or lean towards:omnivorism (yes and yes): 0.4775
","Accept or lean towards:omnivorism (yes and yes): 0.4783
","Accept or lean towards:omnivorism (yes and yes): 0.4813
","Accept or lean towards:omnivorism (yes and yes): 0.36
","Accept or lean towards:vegetarianism (no and yes): 0.3818
Accept or lean towards:omnivorism (yes and yes): 0.3455
","Accept or lean towards:omnivorism (yes and yes): 0.4928
","Accept or lean towards:omnivorism (yes and yes): 0.5
","Accept or lean towards:omnivorism (yes and yes): 0.6735
","Accept or lean towards:omnivorism (yes and yes): 0.4714
","Accept or lean towards:omnivorism (yes and yes): 0.5692
","Accept or lean towards:omnivorism (yes and yes): 0.6643
","Accept or lean towards:omnivorism (yes and yes): 0.3571
","Accept or lean towards:omnivorism (yes and yes): 0.5424
","Accept or lean towards:omnivorism (yes and yes): 0.4042
"
Epistemic justification,"Accept or lean towards:externalism: 0.4967
","Accept or lean towards:externalism: 0.4935
","Accept or lean towards:externalism: 0.4
","Accept or lean towards:externalism: 0.5833
","Accept or lean towards:internalism: 0.2857
Accept or lean towards:externalism: 0.2857
The question is too unclear to answer: 0.2857
","Accept or lean towards:externalism: 0.5116
","Accept or lean towards:externalism: 0.5079
","Accept or lean towards:externalism: 0.4857
","Accept or lean towards:externalism: 0.3816
","Accept or lean towards:internalism: 0.4681
Accept or lean towards:externalism: 0.4255
","Accept or lean towards:internalism: 0.4521
Accept or lean towards:externalism: 0.4398
","Accept or lean towards:externalism: 0.5152
","Accept or lean towards:externalism: 0.5266
","Accept or lean towards:externalism: 0.5105
","Accept or lean towards:externalism: 0.619
","Accept or lean towards:externalism: 0.4907
","Accept or lean towards:externalism: 0.4416
","Accept or lean towards:externalism: 0.4945
","Accept or lean towards:externalism: 0.4856
","Accept or lean towards:externalism: 0.4766
","Accept or lean towards:externalism: 0.6167
","Accept or lean towards:externalism: 0.6818
","Accept or lean towards:externalism: 0.6364
","Accept or lean towards:externalism: 0.4167
","Accept or lean towards:externalism: 0.5741
","Accept or lean towards:externalism: 0.5581
","Accept or lean towards:externalism: 0.5714
","Accept or lean towards:externalism: 0.5292
","Accept or lean towards:externalism: 0.614
","Accept or lean towards:externalism: 0.4667
Accept or lean towards:internalism: 0.4444
","Accept or lean towards:externalism: 0.5455
","Accept or lean towards:externalism: 0.5965
","Accept or lean towards:externalism: 0.5289
"
Experience machine,"Accept or lean towards:no: 0.7415
","Accept or lean towards:no: 0.7568
","Accept or lean towards:no: 0.7009
","Accept or lean towards:no: 0.6629
","Accept or lean towards:no: 0.6
","Accept or lean towards:no: 0.8
","Accept or lean towards:no: 0.7783
","Accept or lean towards:no: 0.8485
","Accept or lean towards:no: 0.7013
","Accept or lean towards:no: 0.6667
","Accept or lean towards:no: 0.8
","Accept or lean towards:no: 0.7703
","Accept or lean towards:no: 0.661
","Accept or lean towards:no: 0.6822
","Accept or lean towards:no: 0.881
","Accept or lean towards:no: 0.8496
","Accept or lean towards:no: 0.6533
","Accept or lean towards:no: 0.8091
","Accept or lean towards:no: 0.8466
","Accept or lean towards:no: 0.8
","Accept or lean towards:no: 0.6167
","Accept or lean towards:no: 0.7115
","Accept or lean towards:no: 0.7273
","Accept or lean towards:no: 0.6735
","Accept or lean towards:no: 0.8125
","Accept or lean towards:no: 0.82
","Accept or lean towards:no: 0.561
","Accept or lean towards:no: 0.7692
","Accept or lean towards:no: 0.6471
","Accept or lean towards:no: 0.8682
","Accept or lean towards:no: 0.8182
","Accept or lean towards:no: 0.6275
","Accept or lean towards:no: 0.8036
"
External world,"Accept or lean towards:non-skeptical realism: 0.6424
","Accept or lean towards:non-skeptical realism: 0.5667
","Accept or lean towards:non-skeptical realism: 0.694
","Accept or lean towards:non-skeptical realism: 0.6809
","Accept or lean towards:non-skeptical realism: 0.5
","Accept or lean towards:non-skeptical realism: 0.6804
","Accept or lean towards:non-skeptical realism: 0.8341
","Accept or lean towards:non-skeptical realism: 0.5135
","Accept or lean towards:non-skeptical realism: 0.4607
","Accept or lean towards:non-skeptical realism: 0.875
","Accept or lean towards:non-skeptical realism: 0.8428
","Accept or lean towards:non-skeptical realism: 0.7403
","Accept or lean towards:non-skeptical realism: 0.77
","Accept or lean towards:non-skeptical realism: 0.7815
","Accept or lean towards:non-skeptical realism: 0.7647
","Accept or lean towards:non-skeptical realism: 0.8622
","Accept or lean towards:non-skeptical realism: 0.7308
","Accept or lean towards:non-skeptical realism: 0.8468
","Accept or lean towards:non-skeptical realism: 0.8857
","Accept or lean towards:non-skeptical realism: 0.8182
","Accept or lean towards:non-skeptical realism: 0.7391
","Accept or lean towards:non-skeptical realism: 0.821
","Accept or lean towards:non-skeptical realism: 0.84
","Accept or lean towards:non-skeptical realism: 0.7451
","Accept or lean towards:non-skeptical realism: 0.8393
","Accept or lean towards:non-skeptical realism: 0.78
","Accept or lean towards:non-skeptical realism: 0.8163
","Accept or lean towards:non-skeptical realism: 0.8085
","Accept or lean towards:non-skeptical realism: 0.8438
","Accept or lean towards:non-skeptical realism: 0.8582
","Accept or lean towards:non-skeptical realism: 0.4286
","Accept or lean towards:non-skeptical realism: 0.8136
","Accept or lean towards:non-skeptical realism: 0.8159
"
